;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;W804PA00660;W804PA00660;; 7.063 ; 7.668 ; 6.967 ; 7.637 ; 605 ; 670 ; 3.395 ; 330 ; $61,02 ; $61,01 ; $24,70 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804PA00660
;W794PA04251;W794PA04251;; 16.692 ; 16.942 ; 4.086 ; 4.331 ; 250 ; 245 ; 3.750 ; 755 ; $22,83 ; $67,39 ; $56,51 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794PA04251
;E175M520059;175M520059;; 1.433 ; 1.460 ; 29.852 ; 32.848 ; 27 ; 2.996 ; 5.973 ; -   ; $224,74 ; $107,33 ; $- ; $332,07 ; $227.382,02 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E175M520059
;E174M850556;174M850556;; 4.472 ; 4.767 ; 51.654 ; 54.235 ; 295 ; 2.581 ; 5.705 ; -   ; $198,49 ; $102,52 ; $- ; $301,01 ; $206.112,12 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850556
;E175M520039;175M520039;; 2.317 ; 2.660 ; 50.417 ; 53.485 ; 343 ; 3.068 ; 5.657 ; -   ; $235,80 ; $101,66 ; $- ; $337,46 ; $231.072,22 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E175M520039
;E174MB50165;174MB50165;; 1.934 ; 2.218 ; 44.372 ; 47.502 ; 284 ; 3.130 ; 5.716 ; -   ; $239,38 ; $102,72 ; $- ; $342,10 ; $234.249,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174MB50165
;W805P100742;W805P100742;; 7.518 ; 8.344 ; 8.128 ; 9.008 ; 826 ; 880 ; 3.174 ; 120 ; $80,71 ; $57,04 ; $8,98 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;S9939600928;L9939600928;; 1.081 ; 1.088 ; 3.569 ; 3.658 ; 7 ; 89 ; 2.493 ; 711 ; $6,79 ; $44,80 ; $53,22 ; $104,81 ; $71.764,18 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSPC320DN;
;E174M850320;174M850320;; 10.263 ; 10.943 ; 58.539 ; 62.366 ; 680 ; 3.827 ; 5.320 ; -   ; $298,67 ; $95,60 ; $- ; $394,27 ; $269.973,09 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M850320
;E174M750497;174M750497;; 6.002 ; 6.537 ; 49.279 ; 53.677 ; 535 ; 4.398 ; 5.465 ; -   ; $338,80 ; $98,21 ; $- ; $437,01 ; $299.238,43 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M750497
